Var,Description,Name,from,to,sgn
  PRD       , DEP CLOUD ICE,Deposition/Sublimation,,,
  EPRD      , SUBLIMATION CLOUD ICE,Sublimation of Ice,,,
  PRE       , EVAP OF RAIN,Evaporation/Condensation,,,
  MNUCCC    , CHANGE Q DUE TO CONTACT FREEZ DROPLETS,Contact freezing (Droplets),,,
  PRA       , ACCRETION DROPLETS BY RAIN,Accretion,,,
  PRC       , AUTOCONVERSION DROPLETS,Autoconversion,,,
  PCC       , COND/EVAP DROPLETS,Evaporation/Condensation,,,both
  MNUCCD    , CHANGE Q FREEZING AEROSOL (PRIM ICE NUCLEATION),Primary ice nucleation,,,
  MNUCCR    , CHANGE Q DUE TO CONTACT FREEZ RAIN,Contact freezing (Rain),,,
  PRAI      , CHANGE Q ACCRETION CLOUD ICE BY SNOW,Accretion (),,,
  PRCI      , CHANGE Q AUTOCONVERSIN CLOUD ICE TO SNOW,,,,
  PSACWS    , CHANGE Q DROPLET ACCRETION BY SNOW,,,,
  PSACWI    , CHANGE Q DROPLET ACCRETION BY CLOUD ICE,,,,
  QMULTS    , CHANGE Q DUE TO ICE MULT DROPLETS/SNOW,,,,
  QMULTR    , CHANGE Q DUE TO ICE RAIN/SNOW,,,,
  PRACS     , CHANGE Q RAIN-SNOW COLLECTION                          to ICE or GRAUP ??????,,,,
  PCCN      , CHANGE Q DROPLET ACTIVATION,,,,
  PSMLT     , CHANGE Q MELTING SNOW TO RAIN,,,,
  EVPMS     , CHNAGE Q MELTING SNOW EVAPORATING,,,,
  PIACR     ," CHANGE QR, ICE-RAIN COLLECTION",,,,
  NIACR     ," CHANGE N, ICE-RAIN COLLECTION",,,,
  PRACI     ," CHANGE QI, ICE-RAIN COLLECTION",,,,
  PIACRS     ," CHANGE QR, ICE RAIN COLLISION, ADDED TO SNOW",Ice-Rain Collision,,,
  PRACIS     ," CHANGE QI, ICE RAIN COLLISION, ADDED TO SNOW",Ice-Rain Collision,,,
  PRDS      , DEP SNOW,Deposition/Sublimation,,,
  EPRDS     , SUBLIMATION SNOW,Sublimation of Snow,,,
  PRACG    , CHANGE IN Q COLLECTION RAIN BY GRAUPEL,Collection of rain by graupel,,,
  PSACWG    , CHANGE IN Q COLLECTION DROPLETS BY GRAUPEL,collection of droplets by graupel,,,
  PGSACW    , CONVERSION Q TO GRAUPEL DUE TO COLLECTION DROPLETS BY SNOW,collection of droplets by snow,,,
  PGRACS    , CONVERSION Q TO GRAUPEL DUE TO COLLECTION RAIN BY SNOW,collection of rain by snow,,,
  PRDG    , DEP OF GRAUPEL,deposition of Graupel,,,
  EPRDG    , SUB OF GRAUPEL,Sublimation of Graupel,,,
  EVPMG    , CHANGE Q MELTING OF GRAUPEL AND EVAPORATION,,,,
  PGMLT    , CHANGE Q MELTING OF GRAUPEL,,,,
  PSACR    , CONVERSION DUE TO COLL OF SNOW BY RAIN,,,,
  QMULTG    , CHANGE Q DUE TO ICE MULT DROPLETS/GRAUPEL,,,,
  QMULTRG    , CHANGE Q DUE TO ICE MULT RAIN/GRAUPEL,,,,
